,address,lat,lon,titles
57,"Copenhagen, Copenhagen Municipality, Indre By, Capital Region of Denmark, 1357, Denmark",55.6867243,12.5700724,Number the Stars
58,"Cork, County Cork, Munster, Ireland",51.897077,-8.4654674,The Story of Lucy Gault
59,"Corrigan, Rainbow Flat, Mid-Coast Council, New South Wales, 2430, Australia",-32.065,152.4677778,Jasper Jones
60,"County Sligo, Connacht, Ireland",54.19298605,-8.7305426729522,"Normal People
The Secret Scripture"
61,"Culduie, Highland, Scotland, IV54 8LX, United Kingdom",57.3960516,-5.8030235,His Bloody Project: Documents relating to the case of Roderick Macrae
62,"Damme, Brugge, West Flanders, Flanders, 8340, Belgium",51.2514978,3.281482,Thyl Ulenspiegel
63,"Danu, Glodeni District, Moldova",47.8316848,27.5003506,The Redundancy of Courage
64,"Dar es-Salaam, Coastal Zone, Tanzania",-6.8160837,39.2803583,An Ice-Cream War
65,"Dawson City, Yukon, Y0B 1G0, Canada",64.0606605,-139.431695,Journey
66,"Delft, South Holland, Netherlands",52.0114017,4.35839,Girl with a Pearl Earring
67,"Delhi Public School Srinagar, MA Road, Lasjan, Srinagar, Srīnagar, Srinagar, Jammu and Kashmir, 190004, India",34.0411016,74.87946013678442,The Ministry of Utmost Happiness
68,"Delhi, India",28.6273928,77.1716954,Clear Light of Day
69,"Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka District, Lusaka Province, Zambia",-15.4139213,28.289698,King Solomon's Mines
70,"Derry/Londonderry, County Londonderry, Northern Ireland, BT48 6BU, United Kingdom",54.9978678,-7.3213056,Reading in the Dark
71,"Detroit, Wayne County, Michigan, United States",42.3315509,-83.0466403,Middlesex
72,"Dorset Court, Newington, Ramsgate, Westwood, Thanet, Kent, England, CT12 6PH, United Kingdom",51.348507,1.3960232,The Nice and the Good
73,"Dorset, England, United Kingdom",50.79683685,-2.34473226124306,On Chesil Beach
74,"Drogheda Forest Road, Chatham Valley, Oberon Council, New South Wales, 2787, Australia",-33.8822325,149.8716946,The Thorn Birds
75,"Drogheda, County Louth, Leinster, Ireland",53.7149877,-6.3524183,Seek the Fair Land
76,"Dublin, County Dublin, Leinster, Ireland",53.3493795,-6.2605593,"Mrs. Eckdorf in O'Neill's Hotel
My Left Foot
Skippy Dies
A Star Called Henry
Prophet Song
The Bee Sting
The Blackwater Lightship
Dublin: Foundation"
77,Egypt,26.2540493,29.2675469,"Pharaoh
The Memoirs of Cleopatra
River God"
78,"Embassy of Ukraine, 60, Holland Park, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 3SJ, United Kingdom",51.50610605,-0.20816926637591013,Master Georgie
79,"England, Buch am Erlbach, Landkreis Landshut, Bavaria, 84172, Germany",48.428501,12.056571,Come Rack! Come Rope!
80,"England, United Kingdom",52.5310214,-1.2649062,"The Bookshop
World Without End
Royal Escape
The Autograph Man
Devil's Brood
Jonathan Strange & Mr Norrell
The Sunne in Splendour
God on the Rocks
Wolf Hall
Maps for Lost Lovers
Katherine
The Wake
Bring Up the Bodies"
81,"Enugu State, Nigeria",6.5536094,7.4143061,Purple Hibiscus
82,Europe,51.0,10.0,The Baroque Cycle
83,"Eyam CP, Derbyshire Dales, Derbyshire, England, United Kingdom",53.2837249,-1.6725141,Year of Wonders
84,"Falmouth, Cornwall, England, United Kingdom",50.1552197,-5.0688262,The Bolitho Novels
85,"Ferrara, Emilia-Romagna, Italy",44.766764249999994,11.827938995640167,How to Be Both
86,"Flanders, Belgium",51.096246199999996,4.178629103169916,A Long Long Way
87,"Florence, Tuscany, Italy",43.7697955,11.2556404,"Romola
The Birth of Venus: A Novel"
88,France,46.603354,1.8883335,"Angélique
Les Misérables
Les Rois maudits
Ninety-Three
A Place of Greater Safety
Black Dogs
Cézanne's Quarry"
89,"France, Legoland Windsor, Government Lodge, Windsor, Royal Borough of Windsor and Maidenhead, England, SL4 4AU, United Kingdom",51.4644439,-0.6520573027777781,A Tale of Two Cities
90,"Galway, County Galway, Connacht, Ireland",53.2744122,-9.0490601,Solar Bones
91,"Geneva, Switzerland",46.2017559,6.1466014,Frankissstein: A Love Story
92,"Gettysburg, Adams County, Pennsylvania, 17325, United States",39.8308973,-77.231012,The Killer Angels
93,"Glasgow, Glasgow City, Scotland, G2 1DY, United Kingdom",55.861155,-4.2501687,"How Late It Was How Late
Shuggie Bain
A Disaffection"
94,"Glencoe, Highland, Scotland, PH49 4HS, United Kingdom",56.6827647,-5.1014552,Lady of the Glen: A Novel of 17th-Century Scotland and the Massacre of Glencoe
95,"Granada, Comarca de la Vega de Granada, Granada, Andalusia, Spain",37.1734995,-3.5995337,"Shaheen
Tales of the Alhambra"
96,"Great Britain, United Kingdom",54.3151594,-1.9181532111487878,The Forest House
97,"Great Meadow, Klamath County, Oregon, United States",42.39110565,-122.2044071107822,Amongst Women
98,Greece,38.9953683,21.9877132,Skios
99,Greenland,77.6192349,-42.8125967,The Greenlanders
100,"Guildford, Surrey, England, United Kingdom",51.2356068,-0.5732063,Kydd
101,"Gundagai, Cootamundra-Gundagai Regional Council, New South Wales, 2722, Australia",-35.0614045,148.1059794,Bila Yarrudhanggalangdhuray
102,"Görlitz, Saxony, Germany",51.1563185,14.991018,The Book Thief
103,"HaMekor, Nahalat Ganim, Ramat Gan, Tel Aviv Subdistrict, Tel-Aviv District, 5255230, Israel",32.0914311,34.8174146,The Source
104,"Haarlem, North Holland, Netherlands",52.383705750000004,4.643559696559635,The Black Tulip
105,"Hadrian's Wall, Military Road, Haydon, Northumberland, North of Tyne, England, NE47 7AL, United Kingdom",55.0146227,-2.3286831,The Eagle of the Ninth
106,Haiti,19.1399952,-72.3570972,"Lydia Bailey
The Kingdom of This World"
107,"Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724,Out of the Shelter
108,"Hiroshima, Hiroshima Prefecture, Japan",34.3917241,132.4517589,Gai-Jin
109,"Hong Kong, China",22.350627,114.1849161,Noble House
110,Hungary,47.1817585,19.5060937,Under the Frog
111,"Huron County, Ohio, United States",41.1305303,-82.591828,The Battle of Pollocks Crossing
112,"Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, Metropolitan France, 83400, France",43.1202573,6.1301614,The Rover
113,India,22.3511148,78.6677428,"Sleeping on Jupiter
The Moor's Last Sigh
Midnight's Children
Heat and Dust
Anandamath
Marthandavarma
Fasting, Feasting
Empire of the Moghul
The Home and the World
Chanakya's Chant
Aag Ka Darya"
114,Indonesia,-2.4833826,117.8902853,"Footsteps
Child of All Nations
This Earth of Mankind"
115,"Ipoh, Kinta, Perak, 30450, Malaysia",4.5986817,101.0900236,The Harmony Silk Factory
116,Iran,32.6475314,54.5643516,Whirlwind
117,Ireland,52.865196,-7.9794599,"Love and Summer
Troubles
Ireland: Awakening
Trinity
The Spinning Heart
Small Things like These
The Book of Evidence
The Riders
The Big Chapel
Lion of Ireland"
118,"Isfahan, بخش مرکزی شهرستان اصفهان, Isfahan County, Isfahan Province, Iran",32.6707877,51.6650002,Cry of the Peacock
119,Israel,30.8124247,34.8594762,"The Glory
The Hope
Vengeance"
120,"Istanbul, Marmara Region, Turkey",41.0766019,29.052495,10 Minutes and 38 Seconds in This Strange World
121,Italy,42.6384261,12.674297,"The Family
I promessi sposi"
122,Jamaica,18.1850507,-77.3947693,"A Brief History of Seven Killings
The Long Song"
123,Japan,36.5748441,139.2394179,"Shōgun
Silence
The Tale of the Heike
An Artist of the Floating World
Musashi"
124,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.205,28.049722,Bitter Fruit
125,"Kabul, Kabul District, Kabul Province, 1001, Afghanistan",34.5260109,69.1776838,"Caravans
The Bedlam Stacks"
126,"Kaifeng, Henan, China",34.604167,114.497222,Peony
127,"Kalimpong, Kalimpong -I, Kalimpong, West Bengal, 734316, India",27.0702869,88.4723676,The Inheritance of Loss
128,"Karlshamns kommun, Blekinge County, Sweden",56.25,14.866667,The Emigrants
129,"Kisangani, Tshopo, Democratic Republic of the Congo",0.5184021,25.2057292,A Bend in the River
130,"Kolkata, West Bengal, India",22.5726459,88.3638953,Sea of Poppies
131,"Kortrijk, West Flanders, Flanders, Belgium",50.8276429,3.2659884,The Sorrow of Belgium
132,"Krishnapur, Chandurbazar, Amravati, Maharashtra, India",21.1430953,77.63621794265444,The Siege of Krishnapur
133,"Kyiv, Ukraine",50.4500336,30.5241361,The White Guard
134,"La Mancha, Castile-La Mancha, Spain",39.08328815,-3.327201452922372,Don Quixote of La Mancha
135,"Lagos, Lagos Island, Lagos State, 100242, Nigeria",6.4550575,3.3941795,"My Sister, the Serial Killer"
136,"Lahore, Lahore City Tehsil, Lahore District, Lahore Division, Punjab, 54500, Pakistan",31.5656822,74.3141829,"A Thousand Splendid Suns
The Reluctant Fundamentalist"
137,"Lake Geneva, Upper Savoy, Auvergne-Rhône-Alpes, Metropolitan France, France",46.361350200000004,6.393247037248148,Hotel du Lac
138,"Lake House Plön, 1, Fegetasche, Plön, Schleswig-Holstein, 24306, Germany",54.153189499999996,10.450517211719745,The Element of Water
139,"Lambing Flat Creek, Walcha, Walcha Council, New South Wales, 2354, Australia",-30.863408,151.767965,The Lambing Flat
140,"Levoča, District of Levoča, Region of Prešov, Eastern Slovakia, 054 01, Slovakia",49.0251116,20.587999,A fekete város
141,"Lichfield, Staffordshire, England, United Kingdom",52.6843696,-1.8275286,The Road To Lichfield
142,"Lisbon, Portugal",38.7077507,-9.1365919,The Last Kabbalist of Lisbon
143,"London, Greater London, England, United Kingdom",51.4893335,-0.14405508452768728,"The Birds on the Trees
Bruno's Dream
The Finkler Question
The Good Apprentice
Loitering with Intent
Judith
Barnaby Rudge
The Essence of the Thing"
144,"London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"According to Mark
Briefing for a Descent into Hell
Jamrach's Menagerie
The Sense of an Ending
Hawksmoor
Forever Amber
Cue for Treason
Last Orders
The Load of Unicorn
Pigeon English
Fingersmith
The Children of Men
The Good Terrorist
Laura Blundy
The Stars in the Bright Sky
Sour Sweet
Notes on a Scandal
The Clothes on Their Backs
A Journal of the Plague Year
Diary of an Ordinary Woman
Jack Maggs"
145,"Lucca, Tuscany, Italy",43.8428381,10.502876,"Danza del principe Genji
Valperga; or, The Life and Adventures of Castruccio, Prince of Lucca"
146,"Ludhiana Foods, Katchary Bazar, Katchary Bazaar, Faisalabad City Tehsil, Faisalabad District, Faisalabad Division, Punjab, 38900, Pakistan",31.4188805,73.079445,Bano
147,"Madrid, Community of Madrid, Spain",40.4167047,-3.7035825,"Fortunata y Jacinta
Winter in Madrid"
148,"Mainland, Orkney Islands, Scotland, United Kingdom",59.013374299999995,-3.231491934503152,The Stronghold
149,"Mainz, Rhineland-Palatinate, Germany",50.0012314,8.2762513,Eagle in the Snow
150,Malaysia,4.5693754,102.2656823,The Garden of Evening Mists
151,"Manila, Capital District, Metro Manila, Philippines",14.5906346,120.9799964,"Noli Me Tángere
El Filibusterismo"
152,"Marrakesh, arrondissement de Marrakech-Medina مراكش المدينة, Pachalik de Marrakech, Marrakesh Prefecture, Marrakech-Safi, Morocco",31.6258257,-7.9891608,Washington Black
153,"Martirio, San Borja, General José Ballivián Segurola, Beni, Bolivia",-15.0303426,-66.7796697,Vernon God Little
154,"Masada, Snake Path, Tamar Regional Council, Beersheba Subdistrict, Israel",31.31564025,35.35389434396094,The Antagonists
155,"Melanesia, Western, Solomon Islands",-9.05,158.75,The Ghost Road
156,Mexico,23.6585116,-102.0077097,"Hunger's Brides
Cartucho
Caballero: A Historical Novel"
157,"Mexico City, Cuauhtémoc, Mexico City, Mexico",19.4326296,-99.1331785,The Heart of Jade
158,"Minneapolis, Hennepin County, Minnesota, United States",44.9772995,-93.2654692,A Council of Dolls
159,"Minnesota, United States",45.9896587,-94.6113288,History of Wolves
160,"Monte Argentario, Grosseto, Tuscany, Italy",42.407352,11.1503838,Ramage
161,"Moscow, Central Federal District, Russia",55.625578,37.6063916,"The Beginning of Spring
Blood Red, Snow White"
162,"Mumbai, Maharashtra, India",19.0785451,72.878176,"The Best of Times
The Death of Vishnu"
163,"Nagasaki Prefecture, Japan",33.1154683,129.7874339,The Thousand Autumns of Jacob de Zoet
164,"Nanjing City, Jiangsu, China",32.0438284,118.7788631,Dragon Seed
165,"Naples, Napoli, Campania, Italy",40.8358846,14.2487679,The Bay of Noon
166,"Near East, Girne Caddesi, İplik Pazarı - Korkut Efendi, Kumsal, Lefkoşa, Lefkoşa Türk Belediyesi, Lefkoşa District, Northern Cyprus, 99010, Cyprus",35.1779199,33.3606891,The Haj
167,Netherlands,52.2434979,5.6343227,Max Havelaar of De koffiveilingen der Nederlandsche Handelmaatschappij
168,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",51.5322382,-0.033679,"The Eagle's Conquest
Memoirs of Hadrian"
169,"New York, United States",40.7127281,-74.0060152,"New York: A Novel
Martin Dressler: The Tale of an American Dreamer
The Memoirs of Aaron Burr
Shadow Patriots
To Rise Again at a Decent Hour"
170,New Zealand,-41.5000831,172.8344077,"Season of the Jew
The Luminaries
the bone people"
171,"Newburyport, Essex County, Massachusetts, 01950, United States",42.8132845,-70.8819188,"Ducks, Newburyport"
172,"Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, France",43.7009358,7.2683912,Swimming Home
173,Nigeria,9.6000359,7.9999721,"The Famished Road
A Spell of Good Things"
174,"Nome, Unorganized Borough, Alaska, United States",64.4975098,-165.4061701,Alaska
175,"Norfolk Island, Australia",-29.0328038,167.9483137,Morgan's Run
176,"North Africa, Carrer de Can Valero, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",41.36259895,2.1596649904253766,The English Patient
177,"Northern Ireland, United Kingdom",54.5859836,-6.9591554,Lies of Silence
178,Norway,61.1529386,8.7876653,"Kristin Lavransdatter
The Master of Hestviken"
179,"Norwich, Norfolk, England, United Kingdom",52.6285576,1.2923954,The Wishing Game
180,"Nottingham, Nottinghamshire, England, United Kingdom",52.9534193,-1.1496461,Outlaw
181,"Oakland, Alameda County, California, United States",37.8044557,-122.271356,Nightcrawling
182,"Old Ox, Greaves Lane, Oxton CP, Newark and Sherwood, Nottinghamshire, England, NG22 8BN, United Kingdom",53.072063650000004,-1.054840275974086,The Sweetness of Water
183,"Oregon Trail, Eatonville, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9B 3Z8, Canada",43.6398586,-79.55372,The Sisters Brothers
184,"Orkney Islands, Scotland, United Kingdom",58.8520573,-3.2869398422535223,Beside the Ocean of Time
185,"Ostend, West Flanders, Flanders, 8400, Belgium",51.2258565,2.919496,The Folding Star
186,"Ostia Antica, Via della Casa del Pozzo, Ostia Antica, Municipio Roma X, Lido di Ostia, Rome, Roma Capitale, Lazio, 00119, Italy",41.75363735,12.28573991132103,The Roman Mysteries
187,"Oxford, Oxfordshire, England, United Kingdom",51.7520131,-1.2578499,"The Book and the Brotherhood
An Instance of the Fingerpost"
188,Pakistan,30.3308401,71.247499,"Shahab Nama
Khaak Aur Khoon
Aangan"
189,"Palermo, Sicily, Italy",38.1112268,13.3524434,The Sicilian
190,"Palma di Montechiaro, Agrigento, Sicily, 92044, Italy",37.1916637,13.7637141,Il gattopardo
191,"Palmers Green, London Borough of Enfield, London, Greater London, England, N13 4PX, United Kingdom",51.6222544,-0.1127378,I'll Go to Bed at Noon
192,"Paris, Ile-de-France, Metropolitan France, France",48.8588897,2.3200410217200766,"The Missing Italian Girl
La Reine Margot
Scaramouche
The Four Horsemen of The Apocalypse
An Officer and a Spy
The Lymond Chronicles
The Prague Cemetery
The Hunchback of Notre Dame
The Count of Monte Cristo"
193,"Penang, Malaysia",5.4065013,100.2559077,"The House of Doors
The Gift of Rain"
194,"Perth, Perth and Kinross, Scotland, PH1 5SU, United Kingdom",56.3958186,-3.4286805,The Fair Maid of Perth
195,"Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom",52.5725769,-0.2427336,A Short History of Tractors in Ukrainian
196,Philippines,12.7503486,122.7312101,"Po-on
Cryptonomicon
The Woman Who Had Two Navels"
197,"Piccadilly Circus, Regent Street St James's, St. James's, Mayfair, City of Westminster, Greater London, England, SW1Y 4ND, United Kingdom",51.5097922,-0.13442883634595293,Breakfast on Pluto
198,"Pittsburg Landing, Hardin County, West Tennessee, Tennessee, United States",35.1503154,-88.3230504,Shiloh: A Novel
199,Poland,52.215933,19.134422,"The Colour of Blood
The Knights of the Cross"
200,"Port Said Street, Nasr City, Cairo, 11528, Egypt",30.0563774,31.4010125,Something to Answer For
201,"Port-au-Prince Arrondissement, West, Haiti",18.547327,-72.3395928,Island Beneath the Sea
202,Portugal,39.6621648,-8.1353519,Baltasar and Blimunda
203,"Primary Health Centre, Mandaran, NH116A, Khirpai, Goghat - II, Hooghly, West Bengal, 712612, India",22.8788799,87.6641534,Durgeshnandini
204,"Racalmuto, Agrigento, Sicily, 92020, Italy",37.4089397,13.7324019,The Lady of the Wheel
205,"Rhode Island, United States",41.7962409,-71.5992372,The Lowland
206,"Richborough Fort, Richborough Road, Ash, Richborough, Dover, Kent, England, CT13 9JQ, United Kingdom",51.2929004,1.3318387681341721,The Silver Branch
207,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Southeast Region, Brazil",-22.9110137,-43.2093727,"Brazil Red
The Guarani: Brazilian Romance
Alfarrábios"
208,"Rome, Roma Capitale, Lazio, Italy",41.8933203,12.4829321,"The Public Image
Ein Kampf um Rom
The Silver Pigs
The Ides of March
Prince of Foxes
Quo Vadis
Masters of Rome"
209,"Rotterdam, South Holland, Netherlands",51.9244424,4.47775,In Ascension
210,Russia,64.6863136,97.7453061,"Doctor Zhivago
The Life of Klim Samgin
Russka
And Quiet Flows the Don
War and Peace
The Red Wheel"
211,"Salisbury, Wiltshire, England, United Kingdom",51.0690613,-1.7954134,Sarum
212,"San Francisco, California, United States",37.7792588,-122.4193286,The Mars Room
213,"Santa Fe, Santa Fe County, New Mexico, United States",35.6876096,-105.938456,Death Comes for the Archbishop
214,"Santa Fé, Região Geográfica Imediata de Maringá, Região Geográfica Intermediária de Maringá, Paraná, South Region, 86770-000, Brazil",-23.039993,-51.808014,O Arquipélago
215,"Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile",-33.4377756,-70.6504502,"Tengo miedo, torero"
216,"Santo Domingo, Distrito Nacional, Dominican Republic",18.4801972,-69.942111,"The Feast of the Goat
In the Time of the Butterflies"
217,"Scotland, Hacketstown ED, The Municipal District of Tullow, County Carlow, Leinster, Ireland",52.8645129,-6.5446592,Old Mortality
218,"Scotland, United Kingdom",56.7861112,-4.1140518,"The Testament of Gideon Mack
Grace Notes
Redgauntlet
The Restraint of Beasts
From Scenes Like These"
219,"Sedgemoor, Somerset, England, United Kingdom",51.186833899999996,-2.96842123193061,Micah Clarke
220,"Shanghai, Huangpu District, Shanghai, 200001, China",31.2323437,121.4691024,"When We Were Orphans
Five Star Billionaire
Empire of the Sun"
221,"Sheffield, South Yorkshire, England, United Kingdom",53.3806626,-1.4702278,The Northern Clemency
222,"Sicily, Italy",37.587794,14.155048,Il Gattopardo
223,Solomon Islands,-8.7053941,159.1070693851845,The Islands of Unwisdom
224,South Africa,-28.8166236,24.991639,"The Covenant
An Instant in the Wind
In a Strange Room
Rumours of Rain
The Pickup
The Conservationist"
225,"Soviet Union, Kardenweg, Mauthausen, Bezirk Perg, Upper Austria, 4310, Austria",48.2582473,14.5007542,Child 44
226,Spain,39.3260685,-4.8379791,"El Conde Lucanor
The Fencing Master
The Episodios Nacionales
La vida y hechos de Estebanillo González"
227,"Sparta, Άγιδος, Community of Sparta, Municipal Unit of Sparta, Municipality of Sparta, Laconia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, 231 00, Greece",37.08114525,22.42486178272022,Goat Song
228,Sri Lanka,7.5554942,80.7137847,The Seven Moons of Maali Almeida
229,"Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190001, India",34.0747444,74.8204443,Shalimar the Clown
230,"St. Augustine, Knox County, Illinois, United States",40.7183728,-90.4109616,Sacred Hunger
231,"St. Louis, Missouri, United States",38.6280278,-90.1910154,The Travels of Jaimie McPheeters
232,"Stonebridge, Brook, Ashford, Kent, England, TN25 5PJ, United Kingdom",51.1595171,0.9506735,The Orchard on Fire
233,"Struan, Eagle Creek No. 376, Saskatchewan, Canada",52.3193493,-107.596559,The Other Side of the Bridge
234,"Subbannapeta, Nandigam, Bhogapuram, Vizianagaram, Andhra Pradesh, 535216, India",18.0202262,83.5482365,Veyi Padagalu
235,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India",21.2094892,72.8317058,Karan Ghelo
236,"Susa, Torino, Piedmont, Italy",45.1372115,7.0539789,From A to X
237,"Sydney Cove, Quay Quarter, Sydney, New South Wales, 2000, Australia",-33.85808355,151.2121015347458,The Playmaker
238,"Sydney, Council of the City of Sydney, New South Wales, Australia",-33.8698439,151.2082848,"nan
An Angel in Australia"
239,"Tabasco, Mexico",17.9999288,-92.6681659,The Power and the Glory
240,"Tasmania, Australia",-42.035067,146.6366887,English Passengers
